"CC","Restaurante","Miu","Lambda","Distribucion","FinDe","P0","Lq","L","Wq","W","Pw"
"La Pradera","BurgerKing",2.387801,0.7724133,0.13322881,"0",0.676516887295047,0.403625065357339,0.727108178062292,0.522550641421295,0.941346010047073,0.323483112704953
"La Pradera","BurgerKing",2.542767,0.4703446,0.12057155,"1",0.815026465264021,0.180303449593265,0.365276984329243,0.38334329679402,0.776615665044827,0.184973534735979
"La Pradera","GoGreen",3.886285,0.4721102,0.07881851,"0",0.878518894008031,0.195811355217775,0.317292461209744,0.41475773075391,0.672072878768016,0.121481105991969
"La Pradera","GoGreen",4.801042,0.1758242,0.04507204,"1",0.963377908379056,0.0297820084973853,0.0664041001183293,0.169385150038421,0.377673267492923,0.036622091620944
"La Pradera","PandaExpress",4.269329,1.8037097,0.31688983,"0",0.577519160505082,1.87888274996945,2.30136358946437,1.04167691173887,1.27590575659951,0.422480839494918
"La Pradera","PandaExpress",4.217262,0.8049832,0.20635523,"1",0.80912184256041,0.524309297125979,0.715187454565569,0.651329490014175,0.888450162146947,0.19087815743959
"La Pradera","PolloCampero",3.776276,1.113601,0.17045465,"0",0.705106035681714,0.874407062587698,1.16930102690598,0.785206786441192,1.05001793901585,0.294893964318286
"La Pradera","PolloCampero",2.615584,1.399152,0.35866877,"1",0.465070898124472,0.910435030417802,1.44536413229333,0.650704877252652,1.03302867186219,0.534929101875528
"La Pradera","Subway",3.607619,0.7145477,0.12490325,"0",0.801933713066707,0.409450044614008,0.607516331547302,0.573019890224275,0.850211023766925,0.198066286933293
"La Pradera","Subway",4.510819,0.5077786,0.122411,"1",0.887430952117565,0.228814403879118,0.341383451761554,0.450618446462924,0.672307678507038,0.112569047882436
"La Pradera","TacoBell",3.421053,1.0023754,0.17570495,"0",0.706997991554063,0.710360786866293,1.00336279531223,0.7086773945832,1.00098505541161,0.293002008445938
"La Pradera","TacoBell",4.330208,0.5731343,0.14692141,"1",0.867642778360762,0.285005838416844,0.417363060056082,0.497275836425851,0.728211625191656,0.132357221639238
"Miraflores","BurgerKing",3.051515,0.2841333,0.08852855,"0",0.906887791801777,0.0732146223149771,0.1663268305132,0.257677021014352,0.585383094882578,0.0931122081982228
"Miraflores","BurgerKing",1.876263,0.7656613,0.15873655,"1",0.59192218788091,0.347006821619203,0.755084633738293,0.453211911871742,0.986186233701891,0.40807781211909
"Miraflores","GoGreen",6.311905,0.2299909,0.07373246,"0",0.963562363501986,0.050968415636994,0.0874060521350085,0.221610575187949,0.380041350049104,0.0364376364980145
"Miraflores","GoGreen",3.887879,0.2922941,0.06059827,"1",0.924819136603788,0.0790127006113568,0.154193564007569,0.270319177196381,0.527528828011132,0.0751808633962117
"Miraflores","KFC",3.197705,0.7376305,0.24081831,"0",0.769325031546062,0.418588791493158,0.649263759947096,0.567477607681837,0.880201889627796,0.230674968453938
"Miraflores","KFC",2.86982,0.7649897,0.15859731,"1",0.73343634792426,0.429213728568378,0.695777380644118,0.561071251767675,0.909525161768999,0.26656365207574
"Miraflores","McDonalds",2.989885,0.6180961,0.1880919,"0",0.793270945203578,0.303063444207518,0.50979249900394,0.490317677473645,0.824778701894317,0.206729054796422
"Miraflores","McDonalds",2.590606,1.0351317,0.21460305,"1",0.60042874138329,0.643357977185733,1.04292923580244,0.621522823796946,1.00753289248358,0.39957125861671
"Miraflores","PolloCampero",3.108333,0.3894753,0.12686216,"0",0.874699621951702,0.132684068497008,0.257984446545306,0.340673897669526,0.662389749864255,0.125300378048298
"Miraflores","PolloCampero",3.854301,0.5799813,0.12024146,"1",0.849523610117632,0.285761314874491,0.436237704756859,0.492707807776718,0.752158224337334,0.150476389882368
"Miraflores","Subway",4.192021,0.5321956,0.17467389,"0",0.873045578731595,0.247274582126069,0.374229003394474,0.464631015600408,0.703179438902677,0.126954421268405
"Miraflores","Subway",4.100877,0.5087015,0.10546376,"1",0.87595299737105,0.226676678096102,0.350723680725052,0.445598603692149,0.689448882547136,0.12404700262895
"Miraflores","TacoBell",3.379235,0.3375416,0.10729275,"0",0.900113013744235,0.10255377470293,0.202440760958695,0.303825586840051,0.599750552105858,0.099886986255765
"Miraflores","TacoBell",3.659722,0.8767123,0.1817596,"1",0.760442924353271,0.584495029788692,0.824052105435422,0.666689665228482,0.939934463603878,0.239557075646729
"Pradera Concepción","BurgerKing",3.248718,0.6793959,0.15431719,"0",0.790872614982279,0.365050023826808,0.574177408844529,0.537315612041239,0.845129340410399,0.209127385017721
"Pradera Concepción","BurgerKing",3.642708,0.6542481,0.10795946,"1",0.820395129118227,0.35116240390546,0.530767274787233,0.536741954474855,0.811262997610896,0.179604870881773
"Pradera Concepción","GoGreen",4.257407,0.3736772,0.08590219,"0",0.912228922440349,0.127378766122244,0.215149843681894,0.340879149496527,0.575763904465925,0.0877710775596507
"Pradera Concepción","GoGreen",2.506548,0.5585106,0.09216153,"1",0.777179371789409,0.242428740348661,0.465249368559252,0.434062917245726,0.833017974160654,0.222820628210591
"Pradera Concepción","McDonalds",2.747541,0.5945882,0.13323257,"0",0.783592601529877,0.277027510352014,0.493434908822137,0.465914914476967,0.829876726147839,0.216407398470123
"Pradera Concepción","McDonalds",4.00339,1.0990376,0.18135552,"1",0.725473261410954,0.876287288223652,1.1508140268127,0.797322392085268,1.04711069649728,0.274526738589046
"Pradera Concepción","PandaExpress",2.734167,0.8075515,0.17792124,"0",0.704644412722412,0.459526402249539,0.754881989527126,0.569036652460603,0.934778759654495,0.295355587277588
"Pradera Concepción","PandaExpress",2.951913,1.197644,0.19762686,"1",0.594282080806582,0.852409186466705,1.25812710566012,0.711738368385518,1.05050173979924,0.405717919193418
