"CC","Restaurante","FinDe","0","1","2","3","4","5","6","7","8","9","10"
"Pradera Concepción","McDonalds","0",0.34843294,0.227027424851956,0.147923590791704,0.096382138532296,0.0627994262330985,0.0409180372552627,0.0266608450626358,0.0173713283220215,0.0113185852497367,0.00737481726674593,"0.00480518797339617"
"Pradera Concepción","McDonalds","1",0.76880227,0.17774534342509,0.041094320792397,0.00950091388526389,0.00219658976993972,0.00050784657935775,0.000117412978834207,2.71456147566381e-05,6.27600464473631e-06,1.45099805820827e-06,"3.35467464430571e-07"
"Pradera Concepción","PandaExpress","0",0.50902805,0.249918493640061,0.122702969833032,0.0602437162074532,0.0295779747419539,0.0145219558969941,0.00712987298535742,0.00350056763344474,0.00171868051247011,0.000843823920361677,"0.000414293874520748"
"Pradera Concepción","PandaExpress","1",0.71242753,0.204874541448687,0.0589162770475892,0.0169426990615994,0.00487225374509079,0.00140112602308774,0.000402925265243361,0.000115870212026792,3.33210825760077e-05,9.58222587683186e-06,"2.75558432248353e-06"
"Pradera Concepción","PolloCampero","0",0.72629941,0.198788579849355,0.0544085523606904,0.0148916530930969,0.00407585429538762,0.00111556374120282,0.000305330458474615,8.35691278131717e-05,2.28729199122297e-05,6.26033176367331e-06,"1.71345652158306e-06"
"Pradera Concepción","PolloCampero","1",0.80734682,0.155537936027273,0.0299648787167132,0.00577282931380732,0.00111215395201201,0.000214260000727473,4.12778714931374e-05,7.95231340062948e-06,1.53203850233278e-06,2.95152096551461e-07,"5.68619913703712e-08"
"Pradera Concepción","Subway","0",0.26633755,0.195401859219256,0.143359006592732,0.105177119876808,0.0771645033576935,0.05661269851669,0.0415346110436942,0.0304723844605708,0.0223564442131404,0.016402083614493,"0.012033592834888"
"Pradera Concepción","Subway","1",0.4625266,0.248595745712694,0.133613601437086,0.0718137570609153,0.0385979843948186,0.0207453900243507,0.0111500953744156,0.00599287970544937,0.00322101344948087,0.00173120906002879,"0.000930478824920406"
"Pradera Concepción","TacoBell","0",0.56663826,0.245559343950666,0.106416025281246,0.0461166341889802,0.019985184969082,0.00866081459049463,0.00375326570592006,0.00162652176790579,0.00070487230821375,0.00030546469201349,"0.000132376711327125"
"Pradera Concepción","TacoBell","1",0.57763213,0.243973250515561,0.103046461364829,0.0435235140630136,0.0183829337883493,0.00776436052882986,0.00327941639325594,0.00138512010621132,0.000585030224455891,0.000247097967888926,"0.00010436624157602"
