"CC","Restaurante","FinDe","0","1","2","3","4","5","6","7","8","9","10"
"La Pradera","BurgerKing","0",0.43913098,0.246294961149077,0.138139212786639,0.0774780045043724,0.0434550122364686,0.0243725700029493,0.0136698193827718,0.00766697816171994,0.00430017050601084,0.00241183240524808,"0.00135272207064203"
"La Pradera","BurgerKing","1",0.14778381,0.125943755223043,0.107331306992842,0.0914694773106459,0.0779517692823841,0.0664317596745119,0.0566142209994637,0.0482475556131604,0.0411173479304265,0.0350408695185917,"0.0298623962493057"
"La Pradera","GoGreen","0",0.41324759,0.242474020454776,0.142272216507066,0.0834785662887485,0.0489812501745827,0.0287398667146063,0.0168631861340679,0.00989451514914986,0.0058056306357771,0.00340646778250368,"0.00199875319000247"
"La Pradera","GoGreen","1",-0.26361459,-0.333107241050412,-0.420919168549121,-0.531879600975921,-0.672090821877815,-0.849263765753721,-1.07314208190945,-1.35603798773031,-1.71350938069246,-2.16521544697684,"-2.73599782099386"
"La Pradera","PandaExpress","0",0.86855932,0.114164026236633,0.015005797055472,0.0019723721446481,0.00025924993271618,3.40759870269487e-05,4.47897085139073e-06,5.88718967164256e-07,7.73816204209792e-08,1.01710926825054e-08,"1.33689532208437e-09"
"La Pradera","PandaExpress","1",0.70007827,0.209968683399821,0.0629741700290943,0.0188873217978975,0.00566471816194677,0.00169897205107511,0.000509558630776148,0.000152827704278099,4.58363489189425e-05,1.37473169026731e-05,"4.12311901972672e-06"
"La Pradera","PolloCampero","0",0.72107166,0.201127321896827,0.0561001102350771,0.0156479106801921,0.00436464576681297,0.00121742340297692,0.000339573890139117,9.47167818379772e-05,2.64191948269863e-05,7.36906218477962e-06,"2.05544029024232e-06"
"La Pradera","PolloCampero","1",0.72315062,0.200203798377776,0.0554262967857084,0.0153447357156559,0.00424818051788081,0.00117610612831142,0.000325604248508182,9.01433332371053e-05,2.49561256166828e-05,6.90908782080946e-06,"1.91277665647536e-06"
"La Pradera","Subway","0",0.59841596,0.240314296693945,0.096506385283416,0.0387554237454813,0.0155635595021081,0.00625007704641344,0.0025099311684331,0.0010079482898354,0.000404775942766732,0.000162551556954824,"6.52781103734335e-05"
"La Pradera","Subway","1",0.51756756,0.249691378934607,0.120459220269264,0.0581134351125484,0.0280358060846762,0.0135253822338209,0.00652508310331578,0.0031479117387686,0.00151865472947641,0.000732648301080786,"0.000353453304861221"
"La Pradera","TacoBell","0",0.70317671,0.208719223131422,0.0619527260858576,0.0183890118594997,0.00545828696384056,0.00162014668364254,0.000480897265736832,0.000142741507622766,4.23690036315791e-05,1.25761069686674e-05,"3.73288142111237e-06"
"La Pradera","TacoBell","1",0.58406725,0.242932694575855,0.101043662512982,0.0420273679171228,0.0174805585042433,0.0072707366833643,0.00302413746711737,0.00125783779805258,0.000523175928149152,0.000217605999929799,"9.05094608862581e-05"
"Miraflores","BurgerKing","0",-0.27522119,-0.350967894362752,-0.447561697096884,-0.570740161495245,-0.727819949867389,-0.928131425055467,-1.18357286349797,-1.50931719947426,-1.9247132803436,-2.45443516632647,"-3.12994774194346"
"Miraflores","BurgerKing","1",0.28215021,0.202541468916538,0.1453943508703,0.104371304197991,0.0749229187708063,0.0537834014844559,0.0386084034457731,0.0277150342947794,0.0198952315404509,0.0142817877776435,"0.0102521783529354"
"Miraflores","GoGreen","0",0.23403907,0.179264782828398,0.137309819093508,0.105173956211689,0.0805591409139161,0.0617051541897492,0.0472637370556046,0.0362021758116347,0.0277294521157864,0.0212396768261253,"0.0162687625343099"
"Miraflores","GoGreen","1",0.03203436,0.0310081599072883,0.0300148334736814,0.0290533276126803,0.0281226229727338,0.0272217328565611,0.0263497021750936,0.0255056064349256,0.0246885507582026,0.0238976689339056,"0.023132122499528"
"Miraflores","KFC","0",0.5663984,0.245591251710836,0.106488759355421,0.046173696294396,0.0200209885286694,0.00868113263251489,0.00376415298752101,0.00163214275293922,0.000707699706893793,0.000306859724270829,"0.000133054867004065"
"Miraflores","KFC","1",0.53184573,0.248985851865624,0.11656379083696,0.0545698369303952,0.0255471024168656,0.0119599851971391,0.00559911819280738,0.00262125111530454,0.00122714991412607,0.000574495477730935,"0.00026895251357153"
"Miraflores","McDonalds","0",0.40562105,0.241092612857998,0.143300373525231,0.0851747252188342,0.0506260635449535,0.0300910663752975,0.0178854963668772,0.0106307625093733,0.00631870143341344,0.00375570310872974,"0.00223231086158512"
