"CC","Restaurante","Lambda","Miu","Distribucion","P_No_Cola","Por_Ocioso","T_Cola","T_Sistema_Prom","Max_T_Cola","En_Cola","En_Sistema","Sd_Miu","Min_T_Llegadas","Max_T_Llegadas","Inv_Miu","Inv_Lambda","Sd_Inv_Lambda","Cantidad","Tiempo_Tot"
"La Pradera","BurgerKing",0.707596929444093,0.41304347826087,0.134534513741069,0.384615384615385,0.253678738214821,0.818758434547908,3.24102564102564,5.68333333333333,1.22672064777328,2.25910931174089,0.437186980453856,0,9.2,2.42105263157895,1.51685657641689,3.25517098154577,247,6.14277777777778
"La Pradera","GoGreen",0.429783622590438,0.248944209824405,0.073709512185664,0.553571428571429,0.0872407075918711,0.992261904761905,5.01011904761905,12.0333333333333,1.13392857142857,2.22321428571429,0.241630183497689,0,30.3666666666667,4.01696428571429,2.82119850023343,8.15107295257155,112,5.08388888888889
"La Pradera","PandaExpress",1.55513776521626,0.234941960634169,0.276626304795341,0.151111111111111,0.000846062379950608,1.55251851851852,5.80918518518518,8.45,3.02666666666667,7.80888888888889,0.400732383654879,0,7.76666666666667,4.25637037037037,0.736302910300848,1.9954902003698,225,2.72138888888889
"La Pradera","PolloCampero",1.23055541224429,0.302948917655906,0.222703158807165,0.26063829787234,0.0968142337631112,1.61187943262411,4.91276595744681,5,2.8031914893617,5.38829787234043,0.421590033100227,0,7.73333333333333,3.30088652482269,0.918483547682876,2.27420040942199,188,2.82444444444444
"La Pradera","Subway",0.621745809967304,0.249190621014422,0.117030476058503,0.125984251968504,0.0379326016315586,1.63097112860892,5.64514435695538,6.91666666666667,1.74803149606299,3.01574803149606,0.309250659681254,0,10.2166666666667,4.01299212598425,1.77523448494668,4.68191331570025,127,3.63083333333333
"La Pradera","TacoBell",0.919128639506082,0.277980569438985,0.175396034412259,0.16969696969697,0.0444136932640722,1.69656565656566,5.29444444444444,6.28333333333333,2.38787878787879,4.43030303030303,0.368354760604275,-0.816666666666667,6.63333333333333,3.59737373737374,1.16781223201266,2.07351004139105,165,3.1475
"Miraflores","BurgerKing",0.464706256116525,0.383025027203482,0.105254920028913,0.579545454545455,0.261432328719872,0.533712121212121,3.1467803030303,3.56666666666667,0.647727272727273,1.17045454545455,0.413906946124282,0,18.6833333333333,2.61079545454545,2.93717599321705,6.64769897325515,88,4.12527777777778
"Miraflores","GoGreen",0.247563602050643,0.177676537585421,0.0710154371611596,0.512820512820513,0.00376706012541498,1.42948717948718,7.05769230769231,8.26666666666667,0.794871794871795,1.56410256410256,0.198597715823932,0,32.2833333333333,5.62820512820513,4.5325,12.5834226679408,39,2.70972222222222
"Miraflores","KFC",0.743414984149462,0.319654164637116,0.218678766856507,0.285714285714286,0.1110921577809,1.27866666666667,4.39619047619048,6.71666666666667,1.74857142857143,3.24571428571429,0.331640782218184,0,9.68333333333333,3.12838095238095,1.37743618177865,2.67691548941355,175,3.94861111111111
"Miraflores","McDonalds",0.732780928742765,0.347212175573623,0.193002269066287,0.555,0.278181528831362,0.3105,3.19175,2.86666666666667,0.575,2.1,0.383556091800693,0.05,16.2666666666667,2.88008333333333,1.55900182672983,3.6481377273733,200,5.11305555555556
"Miraflores","PolloCampero",0.428585817456755,0.306609360722867,0.122581579400433,0.543046357615894,0.257668993651067,0.758388520971302,4.01346578366446,5.6,0.721854304635762,1.45695364238411,0.213168974367872,0,22.0833333333333,3.26147902869757,2.47966053731624,5.95632556978789,151,6.07805555555556
"Miraflores","Subway",0.528245228751221,0.239423688113567,0.156021369077907,0.415929203539823,0.00371584305815685,0.873451327433628,5.05088495575221,5.21666666666667,0.964601769911504,2.48672566371681,0.369826072763828,0,10.4,4.17669616519174,1.94984747921695,3.81102302042171,113,3.57361111111111
"Miraflores","TacoBell",0.574974572688554,0.285489785227868,0.133445658408795,0.357798165137615,0.126140676021534,0.869571865443425,4.37079510703364,3.98333333333333,1.11009174311927,2.22935779816514,0.354016632556383,-1.75,15.1833333333333,3.50275229357798,2.29045552304385,4.76210622503436,109,4.03027777777778
"Pradera Concepción","BurgerKing",0.667324926392607,0.290880884277888,0.135186274823723,0.46,0.230705451056977,0.660166666666667,4.0955,5.68333333333333,0.83,2.22,0.382584589667825,0,7.5,3.43783333333333,1.55821830485617,2.9373645641326,100,2.5175
"Pradera Concepción","GoGreen",0.444572216948196,0.278874315548198,0.0872236241828561,0.479452054794521,0.2448955453149,0.959360730593607,4.55365296803653,8.93333333333333,0.835616438356164,1.58904109589041,0.293179932958221,0,12.1,3.58584474885845,2.44338404703701,4.79324239428749,73,2.84833333333333
"Pradera Concepción","McDonalds",0.842609146768975,0.297176820208024,0.153886524018514,0.233333333333333,0.122689688715953,1.42597222222222,4.79430555555556,8.83333333333333,1.75833333333333,3.90833333333333,0.376878499448998,0,13.4333333333333,3.365,1.36509624873849,3.43593173910144,120,2.65388888888889
"Pradera Concepción","PandaExpress",0.999451841554725,0.351953602658138,0.19100753836958,0.169354838709677,0.00222943061464323,1.46449731165363,4.31044354829737,5.6,2.50806451612903,4.11290322580645,0.606543620117085,0,7.33333333333333,2.84128360229154,1.09962401634891,2.79293377828166,124,2.2093944444259
"Pradera Concepción","PolloCampero",1.14340853929811,0.241143486857032,0.207801884669947,0.153225806451613,0.0695699552442109,1.00295698924731,5.15120967741935,3.93333333333333,1.61290322580645,4.49193548387097,0.198790101679191,0.0333333333333333,11.3333333333333,4.14690860215054,1.01005237158346,2.4553822646392,124,2.03083333333333
"Pradera Concepción","Subway",0.440928700789735,0.269520412207689,0.0899904279471415,0.455882352941177,0.0568862377213555,0.826225490196078,4.53651960784314,3.98333333333333,0.911764705882353,1.77941176470588,0.422567283846657,0,17.3,3.71029411764706,2.37583957455661,5.01127178819748,68,2.57166666666667
"Pradera Concepción","TacoBell",0.736386873062756,0.275252107786411,0.134903725988237,0.441441441441441,0.00260801329394387,0.520570570570571,4.15465465465466,2.63333333333333,0.756756756756757,2.42342342342342,0.441857579985911,0.0166666666666667,9.1,3.63303303303303,1.55895689045689,2.89359987787834,111,2.80027777777778
